x,label
1119,E6
1120,E7
1121,E5
1122,E7
1123,E7
1124,E6
1125,E6
1126,E7
1127,E6
1128,E6
1129,E4
1130,E5
1131,E6
1132,E5
1133,E4
1134,E7
1135,E5
1136,E4
1137,E7
1138,E4
1139,E5
1140,E7
1141,E3
1142,E7
1143,E7
1144,E7
1145,E6
1146,E6
1147,E7
1148,E7
1149,E7
1150,E5
1151,E7
1152,E6
1153,E5
1154,E3
1155,E7
1156,E4
1157,E4
1158,E5
1159,E5
1160,E7
1161,E4
1162,E7
1163,E6
1164,E6
1165,E7
1166,E6
1167,E3
1168,E3
1169,E7
1170,E6
1171,E7
1172,E7
1173,E4
1174,E3
1175,E7
1176,E6
1177,E5
1178,E6
1179,E4
1180,E5
1181,E7
1182,E7
1183,E7
1184,E5
1185,E5
1186,E4
1187,E7
1188,E6
1189,E5
1190,E5
1191,E7
1192,E7
1193,E5
1194,E5
1195,E6
1196,E7
1197,E7
1198,E5
1199,E5
1200,E7
1201,E7
1202,E5
1203,E5
1204,E6
1205,E6
1206,E7
1207,E7
1208,E5
1209,E6
1210,E6
1211,E7
1212,E7
1213,E5
1214,E5
1215,E4
1216,E6
1217,E7
1218,E7
1219,E7
1220,E7
1221,E6
1222,E4
1223,E5
1224,E6
1225,E5
1226,E6
1227,E5
1228,E5
1229,E7
1230,E3
1231,E7
1232,E6
1233,E7
1234,E7
1235,E7
1236,E6
1237,E6
1238,E6
1239,E6
1240,E4
1241,E4
1242,E7
1243,E4
1244,E7
1245,E3
1246,E4
1247,E5
1248,E7
1249,E5
1250,E5
1251,E5
1252,E7
1253,E7
1254,E7
1255,E7
1256,E5
1257,E7
1258,E7
1259,E5
1260,E4
1261,E6
1262,E4
1263,E5
1264,E7
1265,E4
1266,E7
1267,E7
1268,E4
1269,E6
1270,E6
1271,E7
1272,E6
1273,E5
1274,E5
1275,E7
1276,E5
1277,E5
1278,E3
1279,E6
1280,E7
1281,E6
1282,E6
1283,E6
1284,E7
1285,E5
1286,E4
1287,E5
1288,E7
1289,E7
1290,E4
1291,E6
1292,E5
1293,E6
1294,E4
1295,E7
1296,E6
1297,E7
1298,E5
1299,E5
1300,E6
1301,E5
1302,E5
1303,E7
1304,E4
1305,E7
1306,E4
1307,E5
1308,E7
1309,E3
1310,E4
1311,E5
1312,E5
1313,E5
1314,E7
1315,E6
1316,E6
1317,E6
1318,E4
1319,E6
1320,E5
1321,E6
1322,E6
1323,E6
1324,E7
1325,E4
1326,E6
1327,E6
1328,E6
1329,E6
1330,E6
1331,E6
1332,E4
1333,E5
1334,E5
1335,E5
1336,E6
1337,E6
1338,E5
1339,E5
1340,E6
1341,E5
1342,E7
1343,E7
1344,E3
1345,E5
1346,E7
1347,E7
1348,E5
1349,E4
1350,E6
1351,E5
1352,E7
1353,E5
1354,E6
1355,E5
1356,E6
1357,E5
1358,E4
1359,E7
1360,E3
1361,E6
1362,E7
1363,E6
1364,E7
1365,E6
1366,E7
1367,E6
1368,E5
1369,E7
1370,E4
1371,E3
1372,E7
1373,E5
1374,E6
1375,E4
1376,E5
1377,E7
1378,E3
1379,E6
1380,E4
1381,E6
1382,E6
1383,E7
1384,E6
1385,E6
1386,E5
1387,E6
1388,E6
1389,E3
1390,E7
1391,E6
1392,E6
1393,E3
1394,E6
1395,E6
1396,E4
1397,E4
1398,E5
1399,E7
1400,E5
1401,E4
1402,E5
1403,E4
1404,E7
1405,E6
1406,E5
1407,E4
1408,E4
1409,E7
1410,E7
1411,E7
1412,E6
1413,E3
1414,E6
1415,E6
1416,E6
1417,E6
1418,E5
1419,E6
1420,E6
1421,E7
1422,E6
1423,E7
1424,E4
1425,E4
1426,E5
1427,E5
1428,E6
1429,E5
1430,E5
1431,E4
1432,E3
1433,E4
1434,E7
1435,E7
1436,E4
1437,E7
1438,E7
1439,E6
1440,E7
1441,E4
1442,E7
1443,E7
1444,E6
1445,E6
1446,E5
1447,E6
1448,E4
1449,E6
1450,E6
1451,E5
1452,E5
1453,E6
1454,E6
1455,E7
1456,E6
1457,E5
1458,E5
1459,E7
1460,E5
1461,E7
1462,E7
1463,E6
1464,E7
1465,E7
1466,E7
1467,E5
1468,E6
1469,E7
1470,E5
1471,E7
1472,E7
1473,E3
1474,E6
1475,E7
1476,E6
1477,E5
1478,E7
1479,E5
1480,E6
1481,E6
1482,E7
1483,E4
1484,E4
1485,E7
1486,E5
1487,E6
1488,E7
1489,E6
1490,E6
1491,E6
1492,E7
1493,E3
1494,E6
1495,E5
1496,E7
1497,E6
1498,E7
1499,E4
1500,E7
1501,E5
1502,E5
1503,E4
1504,E5
1505,E4
1506,E7
1507,E5
1508,E4
1509,E7
1510,E7
1511,E5
1512,E4
1513,E4
1514,E4
1515,E6
1516,E7
1517,E7
1518,E6
1519,E5
1520,E6
1521,E7
1522,E5
1523,E7
1524,E4
1525,E5
1526,E7
1527,E5
1528,E6
1529,E7
